0 389,398,716,313,194
1 417,109,92,222,276
2 338,321,18,474,840
3 897,882,200,881,892
4 225,454,716,474,694
5 403,714,938,168,26
6 318,210,194,398,716
7 222,109,92,457,301
8 80,263,488,748,538
9 778,124,738,521,484
10 399,276,301,682,551
11 872,190,396,141,938
12 777,233,488,263,538
13 683,112,616,856,356
14 673,111,784,171,574
15 287,32,432,26,793
16 303,276,92,222,109
17 924,538,786,738,488
18 238,438,935,714,938
19 82,881,533,271,474
20 534,634,26,938,141
21 576,108,742,66,432
22 849,20,117,347,521
23 415,166,205,258,856
24 71,382,123,6,474
25 419,360,6,567,840
26 771,654,43,344,345
27 274,168,938,714,403
28 703,938,168,141,26
29 609,550,281,589,544
30 207,178,606,347,551
31 442,709,586,933,394
32 583,913,14,6,474
33 638,22,746,158,600
34 561,339,406,308,59
35 151,716,474,271,18
36 686,272,929,96,350
37 304,502,33,589,853
38 161,232,6,271,474
39 13,102,425,197,826
40 68,120,66,935,714
41 432,26,938,141,168
42 419,360,6,567,840
43 577,864,378,457,92
44 819,149,574,40,673
45 141,938,26,552,168
46 904,477,914,89,477
47 330,716,313,194,311
48 143,356,856,112,616
49 666,474,716,271,151
50 403,714,938,168,26
51 311,846,194,313,716
52 330,716,313,194,311
53 928,392,902,464,116
54 356,856,143,112,616
55 253,850,538,488,64
56 422,367,368,604,814
57 283,579,476,336,125
58 611,284,863,752,784
59 253,850,538,488,64
60 93,636,703,168,938
61 175,538,632,618,64
62 159,938,141,26,552
63 666,474,716,271,151
64 714,168,938,141,26
65 686,272,929,96,350
66 87,933,301,109,56
67 156,686,522,272,391
68 18,151,716,474,271
69 1,738,44,301,864
70 394,472,497,109,222
71 397,781,177,710,214
72 739,785,867,538,748
73 595,938,141,26,634
74 77,538,738,508,748
75 36,451,489,587,853
76 416,532,178,551,682
77 369,813,502,489,587
78 493,347,521,606,249
79 123,316,233,6,18
80 72,693,627,328,788
81 687,362,317,772,335
82 653,109,933,301,222
83 232,913,6,474,271
84 128,618,632,42,864
85 93,636,703,168,938
86 125,476,336,542,87
87 878,18,151,474,716
88 83,901,533,881,290
89 405,846,311,194,95
90 719,65,533,271,474
91 409,321,18,474,535
92 320,757,715,301,521
93 465,867,748,488,263
94 12,786,538,632,618
95 813,502,489,587,589
96 639,354,18,151,474
97 659,716,313,194,650
98 814,604,366,368,367
99 306,2,460,733,486
100 35,853,451,587,489
101 635,853,451,587,489
102 523,579,283,476,125
103 332,256,374,92,109
104 662,79,735,266,413
105 89,361,503,18,151
106 880,682,222,551,276
107 461,791,755,740,853
